component	audience	legacy_site_count	analysis_status	analysis_scope	analysis_evidence	native_function	native_test_or_fixture	status	prerequisites
main-genesis-output	player	9	exact_component_oracle	YT:[2728,286C): exact main-command G prophecy, dynamic confirmation, disabled/decline/insufficient/success branches, COMMAND$ handoff file and RMT-INIT launch ordering, endpoint and failure state; exact joined active main-prompt/editor, lowercase/trailing first-byte G dispatch, entry/return FIELD and cache sidecars, ordinary direct YT:1659 continuation, fresh main prompt, and one following AB36 poll	docs/runtime/main-genesis-output.md; tools/ytmain_genesis_output.py; tools/ytmain_genesis_cycle_output.py; tests/test_ytmain_genesis_output.py; tests/test_ytmain_genesis_cycle_output.py; analysis/static/ytmain-genesis-output.txt; analysis/static/ytmain-genesis-cycle-output.txt	src/yt_session.c::{command_shell,command_genesis,reload_player,session_0317,session_02fc,session_02db,session_a8d2,session_present_text}; src/yt_game.c::{yt_genesis_confirmation_prompt,yt_genesis_insufficient_rows}; src/qb.c::qb_compat_upper_n; src/yt_text.c::yt_text_write; src/yt_platform.c::{yt_platform_sibling_program,yt_platform_spawn}	tests/test_score.c::check_port_name_editor_model; tests/test_input_model.c::test_yes_no_candidate; tests/test_presentation.c::{test_main_genesis_presentation,test_editor_echo}	candidate	fresh body hydration, exact prophecy/prompt/cutoff/decline/insufficient/success rows, SINGLE dynamic formatting, exact 297-byte plain and 321-byte ANSI accepted bodies, COMMAND$ CRLF/EOF handoff, replacement spawn and direct fresh-prompt continuation are represented; add one complete injected active-prompt/raw-FIELD/cache/input/file-registry/RUN/fresh-prompt transaction, disabled/decline/insufficient exact body fixtures, alternate modes/local framebuffer and every dependency/physical failure prefix
planet-inventory-menu-front-end-output	player	18	exact_component_oracle	YT:[39BA,3FA0): exact nine-row planet inventory report; planet-menu free-holds/prompt/editor; whole-string and INSTR dispatch; help and invalid-command reprompt; ANSI/plain and remote/local routing; shared state, typed-ahead input, pager and mode-zero carrier endpoints; exact independent two-A41C/updater/FIELD prompt seam; complete ordinary exact planet-menu Info and mode-one Sensors passes through the following prompt, with canonical scanner entry/terminal cursor and effect-prefix continuity; complete ordinary typed/provenance D inventory pass through the following prompt; complete ordinary Q cancellation/fresh-prompt and confirmed-exit passes; complete ordinary exact L dispatch/direct jump, one shared gameplay-loop re-entry pass, one optional bounded black-hole/nonfatal-mine continuation and following pass, and one optional fresh hostile menu by typed sequencing, strict child byte/event concatenation, and carried by-reference string scratch; complete ordinary exact C dispatch/direct YT:8443 activation, independent typed A41C, and first computer prompt; complete ordinary exact F dispatch, garrison-transfer body, and following fresh planet prompt; named remaining downstream handoffs	docs/runtime/planet-menu-output.md; docs/runtime/planet-action-cycle-output.md; docs/runtime/planet-full-cycle-output.md; docs/runtime/planet-external-cycle-output.md; docs/runtime/planet-display-cycle-output.md; docs/runtime/planet-quit-cycle-output.md; docs/runtime/planet-leave-cycle-output.md; docs/runtime/gameplay-hazard-cycle-output.md; docs/runtime/hostile-fighter-entry-output.md; docs/runtime/planet-computer-cycle-output.md; docs/runtime/planet-ground-force-output.md; docs/gameplay/planet-menu.md; tools/ytplanet_output.py; tools/ytplanet_action_cycle_output.py; tools/ytplanet_full_cycle_output.py; tools/ytplanet_external_cycle_output.py; tools/ytplanet_display_cycle_output.py; tools/ytplanet_quit_cycle_output.py; tools/ytplanet_leave_cycle_output.py; tools/ytgameplay_hazard_cycle_output.py; tools/ythostile_entry_output.py; tools/ytplanet_computer_cycle_output.py; tools/ytplanet_forces_cycle_output.py; tests/test_ytplanet_output.py; tests/test_ytplanet_action_cycle_output.py; tests/test_ytplanet_full_cycle_output.py; tests/test_ytplanet_external_cycle_output.py; tests/test_ytplanet_display_cycle_output.py; tests/test_ytplanet_quit_cycle_output.py; tests/test_ytplanet_leave_cycle_output.py; tests/test_ytplanet_computer_cycle_output.py; tests/test_ytplanet_forces_cycle_output.py; analysis/disassembly/ytplanet-output.static.txt; analysis/disassembly/ytplanet-action-cycle-output.static.txt; analysis/disassembly/ytplanet-full-cycle-output.static.txt; analysis/disassembly/ytplanet-external-cycle-output.static.txt; analysis/disassembly/ytplanet-display-cycle-output.static.txt; analysis/disassembly/ytplanet-quit-cycle-output.static.txt; analysis/disassembly/ytplanet-leave-cycle-output.static.txt; analysis/disassembly/ytplanet-computer-cycle-output.static.txt; analysis/disassembly/ytplanet-forces-cycle-output.static.txt	src/yt_session.c::{planet_menu,planet_inventory,show_ship,planet_rename,planet_move,command_move,sector_entry,finalize_action,fresh_no_turn_gate,dangerous_destination,command_trade,command_land,computer_menu,computer_activate,computer_prompt_hydrate,display_sector,display_sector_one,reload_player,planet_update,planet_update_cached,session_quit_confirm,session_0317,session_031f,session_0345,session_0357,session_a8d2,session_02db,session_02fc,session_present_text,session_right_aligned,session_sound,quit_session}; src/yt_game.c::{yt_info_panel_run,yt_info_team_resolver_run,yt_planet_menu_selector_position}; src/yt_presentation.c::yt_present_refresh_time; src/qb.c::qb_title_case_n; src/qb_format.c::qb_str_double	tests/test_presentation.c::{test_planet_display_cycle_presentation,test_planet_sensor_all_zero_cycle_presentation,test_planet_rename_presentation,test_planet_computer_entry_cycle_presentation,test_planet_menu_front_presentation,test_planet_quit_cancel_presentation,test_planet_quit_accept_presentation,test_computer_planet_inventory_presentation,test_planet_info_cycle_presentation,test_planet_info_promotion_refresh_cycle_presentation,test_planet_info_captain_route_cycles_presentation,test_planet_sensor_nonzero_cycle_presentation,test_planet_garrison_positive_cycle_presentation,test_planet_bank_cancel_cycle_presentation,test_planet_productivity_blank_cycle_presentation,test_planet_transfer_cancel_cycle_presentation,test_planet_transfer_no_cargo_cycle_presentation,test_planet_transfer_cargo_cycle_presentation,test_planet_transfer_fighter_cycle_presentation,test_planet_transfer_direct_cycles_presentation,test_planet_transfer_remaining_cycles_presentation,test_planet_rename_protected_cycle_presentation,test_planet_take_one_accepted_cycle_presentation,test_planet_take_one_zero_cycle_presentation,test_planet_take_one_blank_default_cycle_presentation,test_planet_take_one_e_default_cycle_presentation,test_planet_take_one_stock_error_cycle_presentation,test_planet_take_one_capacity_error_cycle_presentation,test_planet_take_one_negative_error_cycle_presentation,test_planet_leave_cycle_presentation,test_planet_thrusters_accepted_cycle_presentation,test_planet_movement_accepted_cycle_presentation,test_planet_port_no_port_cycle_presentation,test_sector_private_pager}; tests/test_qb.c; tests/test_score.c; tests/test_input_model.c; tests/test_sound.c	candidate	exact prompt/help/invalid/Q cancellation and 1510/1580/1394/1440-byte accepted exits, 742-byte D redraw, 271/205-byte all-zero S cycle, recovered Rename bodies, 178/146-byte C activation, 843/757-byte team-zero, 883/797-byte self-captain, 880/794-byte other-captain, 848/762-byte I;NEXT, 973/887-byte due-refresh/promotion Info cycles, 1286/830-byte nonzero S cycles with 1119/673-byte scanner children, 314/268-byte positive F cycles with 147/111-byte bodies, canonical amount-one selector cycles of 193/198/199/199/197/194/201 bytes, the 193-byte Ore-zero cycle, and 192-byte blank-default and 195-byte E-cleared Ore cycles, 249/225-byte stock-shortfall, 248/224-byte negative-stock and 247/223-byte capacity-rejected Take One, 215/191-byte protected-Rename, 288-byte Transfer-cancel, 344/320-byte Transfer-no-cargo and 312-byte Transfer-Cargo, 383/361-byte Transfer-Fighter, 340/318-byte Transfer-Plasma, 336/314-byte Transfer-Missiles and 333/311-byte Transfer-Mines, 289-byte invalid Transfer, 290-byte substring Transfer, 335/338-byte Fighter cancellation and 337/336-byte Fighter rejection, 275-byte Bank-cancel, 310-byte blank-Productivity and 174/154-byte Leave/re-entry and 710/580-byte accepted-Thrusters and 264/244-byte accepted-Movement and 223/179-byte no-port Docking ANSI/plain cycles are pinned; all four team outcomes carry exact distinct GET/PUT tapes, 24/26/27 local rows, color tapes and final prompt state; add authoritative raw WORLD/FIELD/cache/RNG/updater state, remaining action cycles, modes/local framebuffer, carrier/editor/runtime and every physical failure prefix
planet-ground-force-action-output	player	6	exact_component_oracle	YT:[3389,3515): exact desired-garrison prompt/editor, blank cancel, insufficient-force rejection, zero and positive accepted mutations, success/sound branch, independent planet/player snapshots, raw FIELD overlays, planet-before-player persistence and failure prefixes; exact ordinary prompt/editor/dispatch through body and following fresh-prompt join	docs/runtime/planet-ground-force-output.md; docs/gameplay/planet-actions.md; docs/gameplay/planet-menu.md; tools/ytplanet_forces_output.py; tools/ytplanet_forces_cycle_output.py; tests/test_ytplanet_forces_output.py; tests/test_ytplanet_forces_cycle_output.py; analysis/disassembly/ytplanet-forces-output.static.txt; analysis/disassembly/ytplanet-forces-cycle-output.static.txt	src/yt_session.c::{planet_menu,planet_garrison,reload_player,session_031f,session_036f,session_02db,session_02fc,session_present_text,session_sound}; src/yt_game.c::{yt_planet_garrison_prompt,yt_planet_garrison_after,yt_planet_garrison_overlay,yt_planet_garrison_player_overlay,yt_planet_garrison_success_row}; src/qb.c::qb_val	tests/test_score.c::check_planet_garrison_model; tests/test_input_model.c::test_numeric_response; tests/test_presentation.c::test_planet_garrison_presentation,test_planet_garrison_positive_cycle_presentation; tests/test_sound.c	candidate	independent entry planet/player reads, exact dynamic prompt and 036F grammar, two-step SINGLE arithmetic, typo refusal, dirty-zero/positive owner states, success-before-owner/sound/planet-PUT, fresh player FIELD-only overlay and redraw return are represented; canonical 147/111-byte ANSI/plain positive bodies, exact 314/268-byte caller cycles, eleven local rows, color tape, selector-four sound, terminal state and raw unrelated-byte preservation are pinned; add one complete injected planet-menu/raw-FIELD/cache/input/effect/redraw transaction, cancel/rejection/zero joins, local modes/endpoints and every dependency/physical failure prefix
planet-landing-output	player	11	exact_component_oracle	YT:[3515,369D) plus YT-SUB:[8C7F,8F2F): exact landing heading and lookup, permission and vacant-governor resolution, denial rows, force-landing confirmation and amount editor, ground-assault handoff, endpoint/pager state, FIELD/cache provenance, persistence, RNG, and ordered failure prefixes	docs/runtime/planet-landing-output.md; tools/ytplanet_landing_output.py; tests/test_ytplanet_landing_output.py; analysis/static/ytplanet-landing-output.txt	src/yt_session.c::{command_land,planet_permission_update,read_planet_physical,write_planet_physical,planet_update_cached_physical,planet_assault,reload_player,session_0317,session_031f,session_036f,session_a8d2,session_present_text,session_sound,session_wait}; src/yt_game.c::{yt_planet_permission_run,yt_planet_landing_record,yt_planet_landing_immediate_allow,yt_planet_landing_valid_owner,yt_planet_landing_vacant,yt_planet_landing_attrition,yt_planet_landing_vacancy_overlay,yt_planet_landing_traffic_row,yt_planet_landing_sensor_row,yt_planet_landing_amount_prompt,yt_planet_landing_commitment,yt_planet_landing_commitment_valid,yt_planet_landing_unrest_row}; src/qb.c::{qb_brun_random_record_number,qb_val}	tests/test_score.c::{check_planet_permission_transaction,check_planet_landing_model}; tests/test_presentation.c::test_planet_landing_presentation; tests/test_input_model.c::{test_numeric_response,test_timed_wait}; tests/test_sound.c	candidate	injected permission-helper tapes now pin update/fresh snapshots/predicates/vacancy/two draws/raw overlay/denial and every helper dependency cut; caller title/hydration/sensor/editor/commitment/assault joins and canonical plain denial remain represented; add a complete injected caller/assault/menu transaction, ANSI/local/endpoints, malformed-link continuation and remaining physical failure prefixes
planet-creation-output	player	11	exact_component_oracle	YT:[36A0,39B1): exact zero-link planet-purchase prompt and decision paths, slot scan and protected-slot defect, name editor/confirmation, FIELD/cache provenance and ordered planet/sector/player/news persistence, creation announcement, sound/advice output, endpoints, and ordered failure prefixes	docs/runtime/planet-creation-output.md; tools/ytplanet_creation_output.py; tests/test_ytplanet_creation_output.py; analysis/disassembly/ytplanet-creation-output.static.txt	src/yt_session.c::{create_planet,planet_rename,reload_player,read_planet_physical,write_planet_physical,session_0317,session_02fc,session_02db,session_a8d2,session_present_text,session_sound,append_news_bytes}; src/yt_game.c::{yt_player_stored_name,yt_planet_rename_protected,yt_planet_rename_prepare_name,yt_planet_rename_overlay,yt_planet_creation_credit_row,yt_planet_creation_overlay,yt_planet_creation_timestamp_overlay,yt_planet_creation_credit_overlay,yt_planet_creation_news,yt_planet_creation_success_row}; src/qb.c::qb_brun_random_record_number	tests/test_score.c::check_planet_creation_model; tests/test_presentation.c::{test_planet_creation_presentation,test_planet_rename_presentation}; tests/test_sound.c	candidate	bounded opening/second-hydration/credit-gate/purchase/slot-scan/Rename/raw-initialization/sector-link/date-minute/timestamp/fresh-credit/news/success/sound/reentry behavior and canonical 336-byte plain success are represented; add complete injected raw FIELD/cache/concurrent-snapshot/file/provider transaction, full/protected/poor/decline native variants, ANSI/local/modes, copied-marker seam and every dependency/physical failure prefix
planet-ground-assault-output	player	18	exact_component_oracle	YT-SUB:[8F35,9328): exact committed-force persistence, production-updater boundary, initial attack news, two-draw combat rounds, direct force-status rows and sounds, victory/failure screen and news bytes, final planet persistence, endpoint state, and ordered failure prefixes	docs/runtime/planet-ground-assault-output.md; tools/ytground_assault_output.py; tests/test_ytground_assault_output.py; analysis/static/ytground-assault-output.txt	src/yt_session.c::{planet_assault,read_planet_physical,write_planet_physical,planet_update_cached_physical,reload_player,session_present_text,session_sound,append_news_bytes}; src/yt_game.c::{yt_player_stored_name,yt_planet_stored_name,yt_planet_assault_player_overlay,yt_planet_assault_victory_overlay,yt_planet_assault_failure_overlay,yt_planet_assault_round,yt_planet_assault_attack_news,yt_planet_assault_status_row,yt_planet_assault_capture_news,yt_planet_assault_failure_row}; src/qb_format.c::qb_str_single	tests/test_score.c::check_planet_assault_model; tests/test_presentation.c::test_planet_assault_presentation; tests/test_sound.c	candidate	bounded entry/updater/fresh-snapshot/raw-debit/news/direct-output/two-draw-round/sound/terminal-overlay/return behavior and canonical 117-byte victory plus 97-byte defeat streams are represented; add complete injected raw database/FIELD/cache/provider/news/sound transaction, ANSI/local/mode endpoints, both-zero joined fixture, nonprogress provider boundary and every dependency/physical failure prefix
planet-one-hop-movement-output	player	14	exact_component_oracle	YT-SUB:[80C2,8568): exact one-hop planet-movement output, ordered sector/planet/player FIELD overlays and writes, Xannoron refusal, occupied-destination and random-stress explosions, fighter loss, Wanderer relocation, final-hop announcement, sound/news effects, stop state, endpoint routing, and bounded dependency-failure prefixes	docs/runtime/planet-move-output.md; docs/gameplay/planet-actions.md; tools/ytplanet_move_output.py; tests/test_ytplanet_move_output.py; analysis/disassembly/ytplanet-move-output.static.txt	src/yt_session.c::{planet_move_hop,planet_move_friendship,session_present_text,session_sound,reload_player,append_news_bytes}; src/yt_game.c::{yt_planet_move_fighter_loss,yt_planet_move_sector_overlay,yt_planet_move_explosion_overlay,yt_planet_move_fighter_overlay,yt_planet_move_success_overlay,yt_planet_move_explosion_row,yt_planet_move_explosion_news,yt_planet_move_loss_row,yt_planet_move_success_row}	tests/test_score.c::check_planet_move_model; tests/test_presentation.c::test_planet_move_presentation; tests/test_sound.c; upstream tests/test_ytplanet_move_output.py (25 cases)	candidate	raw overlays, exact row compositors, all recovered branch predicates and canonical plain final-hop composition are native; add full injected Xannor/occupied/random-explosion/fighter-loss/Wanderer/hazard transactions, ANSI/local endpoints, TIMER reseed metadata, raw FIELD identity and every dependency/physical failure prefix
planet-thrusters-controller-output	player	23	exact_component_oracle	YT:[2FB4,3389): exact Planet Thrusters destination/editor, validation, shortest-path construction and display, confirmation, fresh-turn check, ordered repeated YT-SUB:80C2 hops, stop and natural-completion joins, FIELD/cache/scratch provenance, and exactly one following YT:081F gameplay-loop re-entry pass	docs/runtime/planet-move-controller-output.md; docs/runtime/planet-move-output.md; docs/runtime/current-sector-output.md; docs/runtime/gameplay-loop-reentry-output.md; docs/gameplay/planet-actions.md; docs/gameplay/navigation.md; tools/ytplanet_thrusters_output.py; tools/ytplanet_move_output.py; tools/ytsector_output.py; tools/ytgameplay_reentry_output.py; tools/ytpath.py; tests/test_ytplanet_thrusters_output.py; analysis/disassembly/ytplanet-thrusters-output.static.txt	src/yt_session.c::{planet_menu,planet_move,planet_move_hop,planet_move_friendship,build_route,display_sector,computer_prompt_hydrate,session_0317,session_031f,session_036f,session_02fc,session_02db,session_a8d2,session_present_text}; src/yt_game.c::{yt_planet_move_destination,yt_planet_move_maximum,yt_planet_move_add_cost,yt_planet_move_path_heading,yt_planet_move_summary,yt_planet_move_turns_row,yt_planet_menu_selector_position}	tests/test_score.c::check_planet_move_model; tests/test_presentation.c::{test_planet_move_presentation,test_planet_thrusters_accepted_cycle_presentation}; tests/test_sound.c; upstream tests/test_ytplanet_thrusters_output.py and tests/test_ytplanet_move_output.py (42 cases)	candidate	cost/scanner entry, exact destination/range grammar, avoid route, mixed route display, fresh-turn gate, raw confirmation retry, engagement, ordered hop tokens/calls, sticky final flag and distinct stop/natural re-entry paths are native; canonical 350-byte plain controller/final-hop body and exact 710/580-byte ANSI/plain planet-prompt/editor/scanner/controller/one-hop/re-entry cycles are pinned with seven partitions, 29 local rows, complete color tapes, selector-four sound, one stress draw and exact terminal state; add a complete injected raw FIELD/store/cache/RNG transaction across that joined path, remaining queue/pager/corrupt-state branches, recursive hazard continuations and all dependency/physical failure prefixes
planet-take-actions-output	player	20	exact_component_oracle	YT:[3FA0,4958): exact Take One title/maximum/prompt/editor/validation and Take All weapon/commodity rows; mixed direct and B05D framing, typed-ahead pager state, carrier prefixes, fresh record snapshots, mutations, non-transactional failures, and exact ordinary body-to-fresh-prompt joins	docs/runtime/planet-take-actions-output.md; docs/runtime/planet-action-cycle-output.md; docs/runtime/planet-full-cycle-output.md; docs/gameplay/planet-menu.md; tools/ytplanet_take_output.py; tools/ytplanet_action_cycle_output.py; tools/ytplanet_full_cycle_output.py; tests/test_ytplanet_take_output.py; tests/test_ytplanet_action_cycle_output.py; tests/test_ytplanet_full_cycle_output.py; analysis/disassembly/ytplanet-take-output.static.txt; analysis/disassembly/ytplanet-action-cycle-output.static.txt; analysis/disassembly/ytplanet-full-cycle-output.static.txt	src/yt_session.c::{planet_menu,planet_take_one,planet_take_all,reload_player,planet_update,planet_update_cached,session_0357,session_036f,session_0317,session_031f,session_02db,session_02fc}; src/yt_game.c::{yt_planet_take_one_title,yt_planet_take_one_player_overlay,yt_planet_take_one_planet_overlay,yt_planet_take_all_weapon_player_overlay,yt_planet_take_all_weapon_planet_overlay,yt_planet_take_all_commodity_player_overlay,yt_planet_take_all_commodity_planet_overlay}	tests/test_presentation.c::{test_planet_take_one_presentation,test_planet_take_one_accepted_cycle_presentation,test_planet_take_one_zero_cycle_presentation,test_planet_take_one_blank_default_cycle_presentation,test_planet_take_one_e_default_cycle_presentation,test_planet_take_one_stock_error_cycle_presentation,test_planet_take_one_capacity_error_cycle_presentation,test_planet_take_one_negative_error_cycle_presentation,test_planet_take_all_default_cycle_presentation}; tests/test_score.c::check_planet_take_all_overlays; tests/test_input_model.c	candidate	exact canonical Take One titles/punctuation, cached-Q maximum/prompt, editor/default/validation, attention errors, fresh-record overlays, cache subtraction and final hydrate are represented with all seven exact amount-one bodies and 193/198/199/199/197/194/201-byte ANSI/plain caller cycles, plus exact 193-byte zero, 192-byte blank-default and 195-byte E-cleared accepted-Ore caller cycles plus exact 249/225-byte stock-shortfall, 248/224-byte negative-stock and 247/223-byte capacity-rejection ANSI/plain cycles with thirteen local rows, color tape, queue clear and final prompt state; exact blank-default dispatch, 149-byte Take-All body and 305-byte body/redraw join are represented with cached-Q weapons, Equipment-first holds, corrupt negative free and explicit double rounding; add malformed/noncanonical raw selector/VAL memory boundaries, raw FIELD/cache/persistence failure prefixes, modes/local framebuffer, carrier/pager/runtime and physical endpoint fixtures
planet-transfer-action-output	player	3	exact_component_oracle	YT:[4958,4F53): exact Transfer title/selector/editor and cargo/plasma/fighter/missile/mine branches; mixed direct and B05D framing, typed-ahead pager state, carrier prefixes, cached and fresh record overlays, mutations, updater/sound tail, and non-transactional failures; exact ordinary body-to-fresh-prompt joins	docs/runtime/planet-transfer-output.md; docs/runtime/planet-action-cycle-output.md; docs/runtime/planet-full-cycle-output.md; docs/gameplay/planet-menu.md; tools/ytplanet_transfer_output.py; tools/ytplanet_action_cycle_output.py; tools/ytplanet_full_cycle_output.py; tests/test_ytplanet_transfer_output.py; tests/test_ytplanet_action_cycle_output.py; tests/test_ytplanet_full_cycle_output.py; analysis/disassembly/ytplanet-transfer-output.static.txt; analysis/disassembly/ytplanet-action-cycle-output.static.txt; analysis/disassembly/ytplanet-full-cycle-output.static.txt	src/yt_session.c::{planet_transfer,reload_player,planet_update,planet_update_cached,session_0317,session_031f,session_0357,session_036f,session_02db,session_02fc,session_present_text,session_sound}; src/yt_game.c::{yt_planet_transfer_selector_position,yt_planet_transfer_cargo_empty,yt_planet_transfer_cargo_cache,yt_planet_transfer_cargo_player_overlay,yt_planet_transfer_cargo_planet_overlay,yt_planet_transfer_direct_player_overlay,yt_planet_transfer_direct_planet_overlay,yt_planet_transfer_fighter_rejected,yt_planet_transfer_fighter_player_overlay,yt_planet_transfer_fighter_planet_overlay}	tests/test_presentation.c::test_planet_transfer_presentation,test_planet_transfer_cancel_cycle_presentation,test_planet_transfer_no_cargo_cycle_presentation,test_planet_transfer_cargo_cycle_presentation,test_planet_transfer_fighter_cycle_presentation,test_planet_transfer_direct_cycles_presentation,test_planet_transfer_remaining_cycles_presentation; tests/test_score.c::check_planet_take_all_overlays; tests/test_input_model.c	candidate	all ten canonical 131/132/133/175/155/173/169/166/178/216-byte streams and the exact 288-byte lowercase-command blank-selector, 344/320-byte no-cargo, 312-byte accepted-Cargo, 383/361-byte accepted-Fighter and 340/318-, 336/314- and 333/311-byte accepted Plasma/Missile/Mine plus 289-byte invalid, 290-byte substring, 335/338-byte Fighter-cancel and 337/336-byte Fighter-rejected caller cycles with nineteen/twenty-one/twenty-one/twenty-three/twenty-one-row families, color tapes and final prompt state, whole-string substring selection, Cargo catch-up and fresh overlays, cached direct weapons, fighter validation/fractions and selected fresh overlays are represented; add complete raw FIELD/updater/cache/effect and failure-prefix joins, noncanonical VAL/runtime forms, modes/local framebuffer, carrier/pager and physical endpoint fixtures
planet-management-actions-output	player	23	exact_component_oracle	YT:[4F53,5464): exact desired-bank-balance and productivity purchase displays, editors, validation, success and conditional production fragments; stale/fresh cache distinctions, MBF mutation order, carrier prefixes, sound, credit-helper and non-transactional failure boundaries; exact ordinary body-to-fresh-prompt joins	docs/runtime/planet-management-output.md; docs/runtime/planet-action-cycle-output.md; docs/runtime/planet-full-cycle-output.md; docs/gameplay/planet-menu.md; docs/gameplay/planet-economy.md; tools/ytplanet_management_output.py; tools/ytplanet_action_cycle_output.py; tools/ytplanet_full_cycle_output.py; tests/test_ytplanet_management_output.py; tests/test_ytplanet_action_cycle_output.py; tests/test_ytplanet_full_cycle_output.py; analysis/disassembly/ytplanet-management-output.static.txt; analysis/disassembly/ytplanet-action-cycle-output.static.txt; analysis/disassembly/ytplanet-full-cycle-output.static.txt	src/yt_session.c::{planet_bank,planet_productivity,reload_player,write_player,planet_update_cached,session_0317,session_031f,session_036f,session_02db,session_present_text,session_sound}; src/yt_game.c::{yt_planet_bank_available,yt_planet_bank_remaining,yt_planet_bank_planet_overlay,yt_planet_bank_credit_argument,yt_planet_bank_credit_overlay,yt_planet_productivity_units,yt_planet_productivity_cache,yt_planet_productivity_credit_argument,yt_planet_productivity_planet_overlay}; src/yt_session.c::mutate_player_credits; src/yt_game.c::yt_credit_mutation_run	tests/test_presentation.c::{test_planet_bank_presentation,test_planet_bank_cancel_cycle_presentation,test_planet_productivity_presentation,test_planet_productivity_blank_cycle_presentation}; tests/test_score.c::{check_planet_bank_overlays,check_planet_productivity_overlays}; tests/test_input_model.c; tests/test_score.c::check_credit_mutation_transaction	candidate	 Bank and Productivity accepted settlements enter the shared raw credit transaction;Bank pins exact canonical 213-byte accepted, 161-byte zero, cancel and both error streams plus cached/fresh and rounding reducers; its lowercase-command blank-input join is exact at 275 ANSI/plain bytes with eleven local rows, color tape and final prompt state. Productivity pins exact 241-byte canonical, 281-byte all-fragment, 213-byte one-credit and unterminated later-only fragment streams plus entry/update, cache-delta, debit-boundary and fresh-overlay reducers; its blank-input join is exact at 310 ANSI/plain bytes with thirteen local rows, color tape and final prompt state; add complete raw FIELD/cache/effect and ordered failure-prefix joins, noncanonical VAL/runtime forms, modes/local framebuffer, carrier/pager, physical endpoints and Bank accepted/zero/error plus Productivity accepted/error fresh-prompt cycles
planet-rename-action-output	player	5	exact_component_oracle	YT:[5464,55D6): exact protected/reserved/empty and accepted Rename paths; case-preserving editor and canonicalizer, raw quoted confirmation/retry input, typed-ahead queue effects, 41-byte cap, fresh-record overlay, carrier prefixes, and non-transactional failures; exact ordinary return-to-fresh-prompt joins	docs/runtime/planet-rename-output.md; docs/runtime/planet-action-cycle-output.md; docs/runtime/planet-full-cycle-output.md; docs/gameplay/planet-menu.md; tools/ytplanet_rename_output.py; tools/ytplanet_action_cycle_output.py; tools/ytplanet_full_cycle_output.py; tests/test_ytplanet_rename_output.py; tests/test_ytplanet_action_cycle_output.py; tests/test_ytplanet_full_cycle_output.py; analysis/disassembly/ytplanet-rename-output.static.txt; analysis/disassembly/ytplanet-action-cycle-output.static.txt; analysis/disassembly/ytplanet-full-cycle-output.static.txt	src/yt_session.c::{planet_menu,planet_rename,session_02db,session_031f,session_0345,session_a8d2,session_present_text}; src/qb.c::qb_title_case_n; src/yt_game.c::{yt_game_read_planet,yt_game_write_planet}	tests/test_presentation.c::test_planet_rename_presentation,test_planet_rename_protected_cycle_presentation; tests/test_qb.c; tests/test_input_model.c; tests/test_data.c	candidate	exact protected/reserved/accepted bytes and recovered ordinary control/persistence order are represented; the lowercase-command protected caller is joined through redraw as exact 215/191-byte ANSI/plain cycles with nine local rows, color tape and final prompt state; add accepted/reserved/empty joined redraw, raw FIELD/store/queue, restart/long-string, mode/local framebuffer, carrier/runtime and every physical failure-prefix fixture
team-command-front-end-output	player	2	exact_component_oracle	YT:[55D6,5796): exact teamless/member/captain option rows, ordinary visible captain-status resolver and promotion, time/prompt/successful-editor order, supported raw-response numeric-gate structure, invalid redraw, malformed cached-team/captain distinctions, ANSI/plain endpoint routing, B05D carrier prefixes, and state	docs/runtime/team-menu-output.md; docs/gameplay/teams.md; tools/ytteam_output.py; tools/ytteam_cycle_output.py; tests/test_ytteam_output.py; tests/test_ytteam_cycle_output.py; analysis/disassembly/ytteam-output.static.txt; analysis/disassembly/ytteam-cycle-output.static.txt; docs/runtime/team-command-cycle-output.md	src/yt_session.c::{command_team,info_team_lines,team_load,team_store,reload_player,session_0317,session_031f,session_0345,session_02db}; src/yt_game.c::yt_team_choice_rejected; src/qb.c::{qb_mbf32_encode,qb_mbf32_decode}; src/qb_format.c::{qb_val,qb_cint}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::test_team_front_presentation	candidate	ordinary resolver and promotion order, three independent player observations, exact option/prompt/editor framing, MBF32 choice store, unconditional CINT order, gate predicates, invalid row/redraw and exact choice-1 spelling are represented; add member/captain/promotion/invalid full native bytes, raw corrupt flags, VAL/CSNG/CINT failure prefixes, concurrency, pager/carrier/editor and physical FIELD/store fixtures
